player_id,player_name,position,nfl_year,season,week,game_date,home_or_away,opponent,outcome,score,games_played,games_started,receptions,receiving_yards,yards_per_reception,longest_reception,receiving_tds,rushing_attempts,rushing_yards,yards_per_carry,longest_rushing_run,rushing_tds,fumbles,fumbles_lost
bobbyfowler/2514295,"Fowler, Bobby",,1985,Regular Season,7,20-Oct,Away,ATL,L,24 to 31,1,--,--,--,--,--,--,--,--,--,--,--,--,--
bobbyfowler/2514295,"Fowler, Bobby",,1985,Regular Season,8,27-Oct,Home,NYG,L,13 to 21,1,--,--,--,--,--,--,--,--,--,--,--,--,--
bobbyfowler/2514295,"Fowler, Bobby",,1985,Regular Season,9,3-Nov,Away,RAM,L,10 to 28,1,--,--,--,--,--,--,3,27,9,10,0,--,--
bobbyfowler/2514295,"Fowler, Bobby",,1985,Regular Season,10,10-Nov,Home,SEA,L,3 to 27,1,--,--,--,--,--,--,--,--,--,--,--,--,--
bobbyfowler/2514295,"Fowler, Bobby",,1985,Regular Season,11,17-Nov,Away,GB,L,14 to 38,1,--,1,1,1,1,0,--,--,--,--,--,--,--
bobbyfowler/2514295,"Fowler, Bobby",,1985,Regular Season,12,24-Nov,Away,MIN,W,30 to 23,1,--,--,--,--,--,--,--,--,--,--,--,--,--
bobbyfowler/2514295,"Fowler, Bobby",,1985,Regular Season,13,1-Dec,Home,RAM,W,29 to 3,1,--,--,--,--,--,--,--,--,--,--,--,--,--
bobbyfowler/2514295,"Fowler, Bobby",,1985,Regular Season,14,8-Dec,Away,STL,L,16 to 28,1,--,--,--,--,--,--,--,--,--,--,--,--,--
bobbyfowler/2514295,"Fowler, Bobby",,1985,Regular Season,15,15-Dec,Home,SF,L,19 to 31,1,--,--,--,--,--,--,--,--,--,--,--,--,--
bobbyfowler/2514295,"Fowler, Bobby",,1985,Regular Season,16,22-Dec,Home,ATL,L,10 to 16,1,--,1,3,3,3,0,2,16,8,11,0,--,--
quinnjohnson/79593,"Johnson, Quinn",,2013,Preseason,1,8-Aug,Home,WAS,L,21 to 22,1,1,--,--,--,--,--,2,11,5.5,9T,1,--,--
quinnjohnson/79593,"Johnson, Quinn",,2013,Preseason,2,17-Aug,Away,CIN,L,19 to 27,0,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2013,Preseason,3,24-Aug,Home,ATL,W,27 to 16,0,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2013,Preseason,4,29-Aug,Away,MIN,L,23 to 24,0,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2013,Regular Season,14,8-Dec,Away,DEN,L,28 to 51,1,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2013,Regular Season,15,15-Dec,Home,ARI,L,34 to 37,1,0,--,--,--,--,--,0,0,--,--,0,--,--
quinnjohnson/79593,"Johnson, Quinn",,2013,Regular Season,16,22-Dec,Away,JAC,W,20 to 16,1,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2013,Regular Season,17,29-Dec,Home,HOU,W,16 to 10,1,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2012,Preseason,1,11-Aug,Away,SEA,L,17 to 27,1,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2012,Preseason,2,17-Aug,Away,TB,W,30 to 7,1,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2012,Preseason,3,23-Aug,Home,ARI,W,32 to 27,1,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2012,Preseason,4,30-Aug,Home,NO,W,10 to 6,1,1,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2012,Regular Season,1,9-Sep,Home,NE,L,13 to 34,1,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2012,Regular Season,2,16-Sep,Away,SD,L,10 to 38,1,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2012,Regular Season,3,23-Sep,Home,DET,W,44 to 41,1,0,--,--,--,--,--,1,5,5,5,0,--,--
quinnjohnson/79593,"Johnson, Quinn",,2012,Regular Season,4,30-Sep,Away,HOU,L,14 to 38,1,0,--,--,--,--,--,1,17,17,17,0,--,--
quinnjohnson/79593,"Johnson, Quinn",,2012,Regular Season,5,7-Oct,Away,MIN,L,7 to 30,1,1,--,--,--,--,--,1,15,15,15,0,--,--
quinnjohnson/79593,"Johnson, Quinn",,2012,Regular Season,6,11-Oct,Home,PIT,W,26 to 23,1,1,--,--,--,--,--,0,0,--,--,0,--,--
