Player Id,Name,Position,Year,Season,Week,Game Date,Home or Away,Opponent,Outcome,Score,Games Played,Games Started,Receptions,Receiving Yards,Yards Per Reception,Longest Reception,Receiving TDs,Rushing Attempts,Rushing Yards,Yards Per Carry,Longest Rushing Run,Rushing TDs,Fumbles,Fumbles Lost
floydraglin/2523695,"Raglin, Floyd",,1987,Regular Season,3,4-Oct,Away,SEA,L,20 to 24,1,--,--,--,--,--,--,--,--,--,--,--,--,--
floydraglin/2523695,"Raglin, Floyd",,1987,Regular Season,4,11-Oct,Home,KC,W,42 to 0,1,--,--,--,--,--,--,--,--,--,--,--,--,--
joeadams/2532782,"Adams, Joe",,2014,Preseason,1,9-Aug,Away,ARI,L,0 to 32,1,0,--,--,--,--,--,--,--,--,--,--,1,0
joeadams/2532782,"Adams, Joe",,2014,Preseason,2,16-Aug,Home,ATL,W,32 to 7,1,0,0,0,--,--,0,--,--,--,--,--,--,--
joeadams/2532782,"Adams, Joe",,2014,Preseason,3,23-Aug,Away,DEN,W,18 to 17,1,0,--,--,--,--,--,--,--,--,--,--,--,--
joeadams/2532782,"Adams, Joe",,2013,Preseason,1,9-Aug,Home,CHI,W,24 to 17,1,0,--,--,--,--,--,--,--,--,--,--,--,--
joeadams/2532782,"Adams, Joe",,2013,Preseason,2,15-Aug,Away,PHI,L,9 to 14,0,0,--,--,--,--,--,--,--,--,--,--,--,--
joeadams/2532782,"Adams, Joe",,2012,Preseason,1,11-Aug,Home,HOU,L,13 to 26,1,0,--,--,--,--,--,1,4,4,4,0,--,--
joeadams/2532782,"Adams, Joe",,2012,Preseason,2,17-Aug,Home,MIA,W,23 to 17,1,0,--,--,--,--,--,--,--,--,--,--,--,--
joeadams/2532782,"Adams, Joe",,2012,Preseason,3,26-Aug,Away,NYJ,W,17 to 12,1,0,--,--,--,--,--,--,--,--,--,--,--,--
joeadams/2532782,"Adams, Joe",,2012,Preseason,4,30-Aug,Away,PIT,L,16 to 17,1,0,--,--,--,--,--,--,--,--,--,--,1,1
joeadams/2532782,"Adams, Joe",,2012,Regular Season,1,9-Sep,Away,TB,L,10 to 16,1,0,--,--,--,--,--,--,--,--,--,--,1,0
joeadams/2532782,"Adams, Joe",,2012,Regular Season,2,16-Sep,Home,NO,W,35 to 27,1,0,--,--,--,--,--,--,--,--,--,--,--,--
joeadams/2532782,"Adams, Joe",,2012,Regular Season,3,20-Sep,Home,NYG,L,7 to 36,1,0,--,--,--,--,--,--,--,--,--,--,2,2
joeadams/2532782,"Adams, Joe",,2012,Regular Season,4,30-Sep,Away,ATL,L,28 to 30,0,0,--,--,--,--,--,--,--,--,--,--,--,--
joeadams/2532782,"Adams, Joe",,2012,Regular Season,5,7-Oct,Home,SEA,L,12 to 16,0,0,--,--,--,--,--,--,--,--,--,--,--,--
joeadams/2532782,"Adams, Joe",,2012,Regular Season,7,21-Oct,Home,DAL,L,14 to 19,0,0,--,--,--,--,--,--,--,--,--,--,--,--
joeadams/2532782,"Adams, Joe",,2012,Regular Season,8,28-Oct,Away,CHI,L,22 to 23,0,0,--,--,--,--,--,--,--,--,--,--,--,--
joeadams/2532782,"Adams, Joe",,2012,Regular Season,9,4-Nov,Away,WAS,W,21 to 13,0,0,--,--,--,--,--,--,--,--,--,--,--,--
joeadams/2532782,"Adams, Joe",,2012,Regular Season,10,11-Nov,Home,DEN,L,14 to 36,0,0,--,--,--,--,--,--,--,--,--,--,--,--
joeadams/2532782,"Adams, Joe",,2012,Regular Season,11,18-Nov,Home,TB,L,21 to 27,1,0,--,--,--,--,--,--,--,--,--,--,--,--
joeadams/2532782,"Adams, Joe",,2012,Regular Season,12,26-Nov,Away,PHI,W,30 to 22,1,0,--,--,--,--,--,--,--,--,--,--,--,--
joeadams/2532782,"Adams, Joe",,2012,Regular Season,13,2-Dec,Away,KC,L,21 to 27,1,0,1,7,7,7,0,1,5,5,5,0,--,--
